Authors,Year,Title,Journal/Book,Volume,Pages,Notes,DOI
"Gabbiani, F; Metzner, W; Wessel, R; Koch, C",1996,From stimulus encoding to feature extraction in weakly electric fish,Nature,384,564-567,,10.1038/384564a0
"Gabor, D",1946,Theory of communication,Journal of the Institution of Electrical Engineers,93,429-457,,10.1049/ji-3-2.1946.0074
"Gabriel, M; Moore, JW",1990,Learning and Computational Neuroscience,,,,"Cambridge, MA: MIT Press",10.1007/978-3-663-13975-1_58
"Gallistel, CR",1990,The Organization of Learning,,,,"Cambridge, MA: MIT Press",
"Gallistel, CR; Gibbon, J",2000,"Time, rate and conditioning",Psychological Review,107,289-344,,10.1037//0033-295x.107.2.289
"Georgopoulos, AP; Kalaska, JF; Caminiti, R; Massey, JT",1982,On the relations between the directions of two-dimensional arm movements and cell discharge in primate motor cortex,Journal of Neuroscience,2,1527-1537,,10.1523/jneurosci.02-11-01527.1982
"Georgopoulos, AP; Kettner, RE; Schwartz, AB",1988,Primate motor cortex and free arm movements to visual targets in three-dimensional space. II.,Neuroscience,8,2928-2937,,10.1523/jneurosci.08-08-02928.1988
"Georgopoulos, AP; Schwartz, AB; Kettner, RE",1986,Neuronal population coding of movement direction,Science,243,1416-1419,,10.1126/science.3749885
"Gershenfeld, NA",1999,The Nature of Mathematical Modeling,,,,Cambridge: Cambridge University Press,10.1063/1.882867
"Gerstner, W",1998,Spiking neurons,,,3-54,"In W Maass & CM Bishop, eds., Pulsed Neural Networks. Cambridge, MA: MIT Press",10.7551/mitpress/5704.003.0005
"van Gisbergen, JAM; Van Opstal, AJ; Tax, AMM",1987,Collicular ensemble coding of saccades based on vector summation,Neuroscience,21,541-555,,10.1016/0306-4522(87)90140-0
"Gluck, MA; Reifsnider, ES; Thompson, RF",1990,Adaptive signal processing and the cerebellum,,,131-185,"In Neuroscience and Connectionist Theory. Hillsdale, NJ: Erlbaum",10.1109/53.45968
"Gluck, MA; Rumelhart, DE",1990,Neuroscience and Connectionist Theory,,,,"Hillsdale, NJ: Erlbaum",10.1146/annurev.cs.04.060190.002101
"Goldman-Rakic, PS",1994,Cellular basis of working memory,Neuron,14,477-485,,10.1523/jneurosci.14-05-02775.1994
"Goodall, MC",1960,Performance of a stochastic net,Nature,185,557-558,,10.1038/185557a0
"Goodhill, GJ",1993,Topography and ocular dominance: A model exploring positive correlations,Biological Cybernetics,69,109-118,,10.1007/bf00226194
"Goodhill, GJ; Richards, LJ",1999,"Retinotectal maps: Molecules, models and misplaced data",Trends in Neuroscience,22,529-534,,10.1016/s0166-2236(99)01469-1
"Goodhill, GJ; Willshaw, DJ",1990,Application of the elastic net algorithm to the formation of ocular dominance stripes,Network: Computation in Neural Systems,1,41-61,,10.1088/0954-898x/1/1/004
"Graham, NVS",1989,Visual Pattern Analyzers,,,,New York: Oxford University Press,10.1093/acprof:oso/9780195051544.001.0001
"Graziano, MSA; Hu, XT; Gross, CG",1997,Visuospatial properties of ventral premotor cortex,Journal of Neurophysiology,77,2268-2292,,10.1152/jn.1997.77.5.2268
"Green, DM; Swets, JA",1966,Signal Detection Theory and Psychophysics,,,,"Los Altos, CA: Peninsula Publishing",10.1126/science.154.3756.1532-a
"Grenander, U",1995,Elements of Pattern Theory,,,,Baltimore: Johns Hopkins University Press,10.2307/2983457
"Grossberg, S",1982,Processing of expected and unexpected events during conditioning and attention,Psychological Review,89,529-572,,10.1037/0033-295x.89.5.529
"Grossberg, S",1987,The Adaptive Brain. Vols. 1 and 2,,,,Amsterdam: Elsevier,10.1111/j.1551-6708.1987.tb00862.x
"Grossberg, S",1988,Neural Networks and Natural Intelligence,,,,"Cambridge, MA: MIT Press",10.1016/0893-6080(88)90021-4
"Grossberg, S; Schmajuk, NA",1989,Neural dynamics of adaptive timing and temporal discrimination during associative learning,Neural Networks,2,79-102,,10.1016/0893-6080(89)90026-9
"Haberly, LB",1990,Olfactory cortex,,,,"In GM Shepherd, ed., The Synaptic Organization of the Brain. New York: Oxford University Press",10.1007/978-1-4615-3824-0_2
"Hahnloser, RH; Sarpeshkar, R; Mahowald, MA; Douglas, RJ; Seung, HS",2000,Digital selection and analogue amplification coexist in a cortex-inspired silicon circuit,Nature,405,947-951,,10.1038/35016072
"Hammer, M",1993,An identified neuron mediates the unconditioned stimulus in associative olfactory learning in honeybees,Nature,336,59-63,,10.1038/366059a0
"van Hateren, JH",1992,A theory of maximizing sensory information,Biological Cybernetics,68,23-29,,10.1007/bf00203134
"van Hateren, JH",1993,Three modes of spatiotemporal preprocessing by eyes,Journal of Comparative Physiology,A172,583-591,,10.1007/bf00213681
"Hebb, DO",1949,The Organization of Behavior: A Neuropsychological Theory,,,,New York: Wiley,
"Heeger, DJ",1992,Normalization of cell responses in cat striate cortex,Visual Neuroscience,9,181-198,,10.1017/s0952523800009640
"Heeger, DJ",1993,"Modeling simple-cell direction selectivity with normalized, half-squared, linear operators",Journal of Neurophysiology,70,1885-1898,,10.1152/jn.1993.70.5.1885
"Henry, GH; Dreher, B; Bishop, PO",1974,Orientation specificity of cells in cat striate cortex,Journal of Neurophysiology,37,1394-1409,,10.1152/jn.1974.37.6.1394
"Herrault, J; Jutten, C",1986,Space or time adaptive signal processing by neural networks,,,,"In JS Denker, ed., Neural Networks for Computing. New York: American Institute for Physics",10.1063/1.36258
"Hertz, J; Krogh, A; Palmer, RG",1991,Introduction to the Theory of Neural Computation,,,,"Redwood City, CA: Addison-Wesley",10.1063/1.2810360
"Hille, B",1992,Ionic Channels of Excitable Membranes,,,,"Sunderland, MA: Sinauer Associates",10.1085/jgp.100.5.749
"Hines, ML",1984,Efficient computation of branched nerve equations,International Journal of Biomedical Computation,15,69-76,,10.1016/0020-7101(84)90008-4
"Hines, ML; Carnevale, NT",1997,The NEURON simulation environment,Neural Computation,9,1179-1209,,10.1162/neco.1997.9.6.1179
"Hinton, GE",1981,Shape representation in parallel systems,,,1088-1096,In Proceedings of the Seventh IJCAI,10.1016/b978-1-4832-8401-9.50009-x
"Hinton, GE",1984,Distributed Representations,,,,Technical report CMU-CS-84-157,
"Hinton, GE",1989,Connectionist learning procedures,Artificial Intelligence,40,185-234,,10.1016/0004-3702(89)90049-0
"Hinton, GE",2000,Training Products of Experts by Minimizing Contrastive Divergence,,,,"Gatsby Computational Neuroscience Unit, technical report 2000-004",10.1152/jappl.2000.88.3.1103
"Hinton, GE; Dayan, P; Frey, BJ; Neal, RM",1995,The wake-sleep algorithm for unsupervised neural networks,Science,268,1158-1160,,10.1126/science.7761831
"Hinton, GE; Ghahramani, Z",1997,Generative models for discovering sparse distributed representations,Philosophical Transactions of the Royal Society of London,B352,1177-1190,,10.1098/rstb.1997.0101
"Hinton, GE; Sejnowski, TJ",1986,Learning and relearning in Boltzmann machines,,,282-317,"In Parallel Distributed Processing Vol. 1. Cambridge, MA: MIT Press",10.1063/1.36246
"Hinton, GE; Zemel, RS",1994,"Autoencoders, minimum description length and Helmholtz free energy",,,3-10,In Advances in Neural Information Processing Systems 6,10.1007/978-1-4899-1355-5_16
